id;username;Country;Global Ranking;Country Ranking;pp;Level;Medals;Total Play Time;Followers;Mapping Subscribers;Joined;Plays With;Forum Posts;Comments;Ranked Score;Hit Accuracy;Play Count;Total Score;Total Hits;Maximum Combo;Replays Watched by Others;XH_count;X_count;SH_count;S_count;A_count;url
2;peppy;Australia;729547;15021;1145;67;22;206;55,907;2114;2007-08-28T03:09:12.000Z;Mouse, Touch Screen;19322;2733;449443736;0,9659;7709;1993821320;831056;746;1667;0;15;0;65;174;https://osu.ppy.sh/users/2/osu
53;phill_old;Australia;-;-;0;0;0;2;64;41;2007-08-28T04:34:58.000Z;;375;0;28393;0,6693;51;2165533;0;0;3;0;0;0;0;1;https://osu.ppy.sh/users/53/osu
55;Zallius;Heard Island and McDonald Islands;333186;1;2532;99;27;484;8,271;75;2007-08-28T04:53:18.000Z;Mouse, Keyboard;114;9;10128534860;0,983;24384;20351676631;4476841;1828;1443;129;426;73;1374;2088;https://osu.ppy.sh/users/55/osu
56;Tiberio_old;Australia;-;-;0;6;0;0.85;10;0;2007-08-29T12:45:44.000Z;Mouse, Keyboard;1;0;441048;0,7214;27;1531677;696;101;0;0;0;0;0;1;https://osu.ppy.sh/users/56/osu
57;Ellesime;Canada;-;-;0;0;0;0.53;11;3;2007-08-30T18:09:05.000Z;;3;0;2551618;0,845;15;2789708;0;0;0;0;0;0;0;3;https://osu.ppy.sh/users/57/osu
59;Lumino;Australia;-;-;0;0;0;7;30;12;2007-08-31T19:18:11.000Z;;87;0;41123604;0,8921;206;89097698;0;0;226;0;0;0;3;18;https://osu.ppy.sh/users/59/osu
60;tensheapz;Australia;-;-;0;12;10;1.2;18;1;2007-09-01T13:49:05.000Z;;16;0;4195422;0,8438;71;13354612;9233;309;0;0;0;0;0;3;https://osu.ppy.sh/users/60/osu
61;tsububu;Australia;-;-;0;19;0;8;30;5;2007-09-01T23:51:26.000Z;;50;0;23228529;0,8966;236;46449616;34432;84;4;0;0;0;6;24;https://osu.ppy.sh/users/61/osu
62;GEN_old;Australia;-;-;0;0;0;0.43;8;0;2007-09-04T10:05:26.000Z;;18;0;260455;0,6195;12;775999;0;0;4;0;0;0;0;0;https://osu.ppy.sh/users/62/osu
63;dolseni;United States;-;-;0;0;0;0.93;7;0;2007-09-04T16:30:22.000Z;;2;0;60613;0,6257;26;1492558;0;0;0;0;0;0;0;0;https://osu.ppy.sh/users/63/osu
65;Kanda Aoi;United States;-;-;0;33;9;24;22;0;2007-09-05T19:06:16.000Z;;54;0;145098281;0,9188;987;252491041;13929;578;0;0;1;0;33;173;https://osu.ppy.sh/users/65/osu
66;deepfriedasian;United States;-;-;0;13;2;4;8;0;2007-09-05T20:57:00.000Z;;1;0;6428994;0,8425;145;15297703;4833;271;0;0;0;0;2;0;https://osu.ppy.sh/users/66/osu
71;diela;Hong Kong;857374;8118;893;57;19;73;16;2;2007-09-09T02:51:51.000Z;;36;0;696888554;0,9663;2032;1235949218;70048;716;376;0;28;0;385;246;https://osu.ppy.sh/users/71/osu
72;Fruit_old;Hong Kong;-;-;0;28;0;12;17;3;2007-09-12T10:07:13.000Z;;21;0;48377320;0,9415;378;146434879;10567;461;1506;0;5;0;17;22;https://osu.ppy.sh/users/72/osu
73;luckymf_old;Australia;-;-;0;19;6;6;20;0;2007-09-16T01:28:55.000Z;Mouse, Keyboard;0;0;16572450;0,8906;185;48565390;669;536;0;0;0;0;7;9;https://osu.ppy.sh/users/73/osu
